task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,json_repair_strategy,json_repair_attempts,llm_error,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_066,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_067,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_068,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_069,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_070,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_071,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_072,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_073,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_074,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_075,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_077,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_078,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_079,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_076,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_081,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_082,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_083,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_084,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_085,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_086,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_087,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_088,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_089,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_090,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_092,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_093,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_094,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_095,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_096,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_097,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_098,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_099,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_100,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_101,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_102,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_103,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_104,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_105,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_106,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_107,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_108,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_109,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_110,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_111,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_112,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_091,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_114,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_115,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_116,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_117,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_118,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_119,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_120,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_022,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_023,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_024,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_025,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_026,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_027,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_028,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_029,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_030,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_031,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_032,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_033,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_034,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_035,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_036,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_113,calendar,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_038,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_039,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_040,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_041,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_042,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_043,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_044,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_080,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_046,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_047,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_048,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_049,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_050,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_051,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_052,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_053,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_054,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_055,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_037,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_057,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_058,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_059,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_060,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_061,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_062,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_063,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_064,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_065,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_056,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_067,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_068,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_069,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_070,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_071,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_072,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_073,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_075,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_076,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_077,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_078,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_079,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_080,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_066,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_082,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_083,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_084,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_085,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_086,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_087,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_088,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_089,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_090,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_091,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_081,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_093,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_094,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_095,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_096,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_097,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_098,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_099,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_100,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_101,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_103,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_104,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_105,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_106,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_107,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_108,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_021,crm_workflow,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_110,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_111,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_112,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_113,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_114,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_115,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_092,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_117,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_118,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_119,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_120,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_021,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_022,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_023,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_024,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_025,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_109,crm_workflow,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_027,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_028,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_029,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_030,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_031,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_032,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_033,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_034,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_035,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_036,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
crm_workflow_074,crm_workflow,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_038,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_039,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_040,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_041,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_042,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_043,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_044,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_045,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_046,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_047,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_048,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_049,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_050,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_051,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_053,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_054,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_055,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_056,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_057,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_058,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_059,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_060,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_061,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_062,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_063,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_064,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_065,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_037,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_067,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_068,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_069,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_070,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_071,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_072,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_073,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_074,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_075,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_076,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_077,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_078,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_079,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_080,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_082,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_083,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_084,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_085,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_086,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_087,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_088,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_089,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_090,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_091,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_092,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_093,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_094,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_095,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_096,email,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_026,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_098,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_099,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_100,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_101,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_102,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_103,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_104,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_105,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_106,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_107,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_108,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_109,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_110,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_111,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_052,email,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_113,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_114,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
email_115,email,L4,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
