model,agent,domain,n,mean_cc_f1,mean_task_success,mean_near_miss_detection_rate,mean_self_violation_rate,bad_spec_bad_execution_count,good_spec_bad_execution_count,bad_spec_good_execution_count,good_spec_good_execution_count,bad_spec_bad_execution_rate,good_spec_bad_execution_rate,bad_spec_good_execution_rate,good_spec_good_execution_rate,good_spec_rate,good_execution_rate,spec_exec_gap,dominant_quadrant
deepseek_reasoner,spec_first,crm_workflow,300,0.5982952511448607,0.13333333333333333,0.47800000000000004,0.7756084656084655,227,33,35,5,0.7566666666666667,0.11,0.11666666666666667,0.016666666666666666,0.12666666666666668,0.13333333333333333,-0.006666666666666654,bad_spec_bad_execution
deepseek_reasoner,spec_first,email,300,0.5656423477897095,0.11333333333333333,0.47800000000000004,0.7787698412698413,235,31,29,5,0.7833333333333333,0.10333333333333333,0.09666666666666666,0.016666666666666666,0.12,0.11333333333333333,0.006666666666666668,bad_spec_bad_execution
deepseek_reasoner,spec_first,file_doc,300,0.5716524029442188,0.0,0.5059999999999999,0.7707142857142858,243,57,0,0,0.81,0.19,0.0,0.0,0.19,0.0,0.19,bad_spec_bad_execution
deepseek_reasoner,spec_first,sheet_db,300,0.59032068423891,0.0,0.5159999999999999,0.838531746031746,272,28,0,0,0.9066666666666666,0.09333333333333334,0.0,0.0,0.09333333333333334,0.0,0.09333333333333334,bad_spec_bad_execution
deepseek_v4_flash,direct,calendar,300,0.3809915141045172,0.0,0.6,1.0,295,5,0,0,0.9833333333333333,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,bad_spec_bad_execution
deepseek_v4_flash,direct,crm_workflow,300,0.4807816876641752,0.0,0.598,1.0,294,6,0,0,0.98,0.02,0.0,0.0,0.02,0.0,0.02,bad_spec_bad_execution
deepseek_v4_flash,direct,email,300,0.4681606080176884,0.0,0.6,1.0,295,5,0,0,0.9833333333333333,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,bad_spec_bad_execution
deepseek_v4_flash,direct,file_doc,300,0.43425862478507515,0.0,0.6,1.0,285,15,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_flash,direct,sheet_db,300,0.4596764481897406,0.0,0.6,1.0,294,6,0,0,0.98,0.02,0.0,0.0,0.02,0.0,0.02,bad_spec_bad_execution
deepseek_v4_flash,plan_first,calendar,300,0.38312100071697597,0.0,0.6,1.0,296,4,0,0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,bad_spec_bad_execution
deepseek_v4_flash,plan_first,crm_workflow,300,0.530594059606208,0.0,0.596,1.0,278,22,0,0,0.9266666666666666,0.07333333333333333,0.0,0.0,0.07333333333333333,0.0,0.07333333333333333,bad_spec_bad_execution
deepseek_v4_flash,plan_first,email,300,0.5039624721897705,0.0,0.598,1.0,285,15,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_flash,plan_first,file_doc,300,0.4936878998008019,0.0,0.6,1.0,275,25,0,0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,bad_spec_bad_execution
deepseek_v4_flash,plan_first,sheet_db,300,0.4840361008063593,0.0,0.594,1.0,291,9,0,0,0.97,0.03,0.0,0.0,0.03,0.0,0.03,bad_spec_bad_execution
deepseek_v4_flash,spec_first,calendar,300,0.4917398742866841,0.03,0.49399999999999994,0.9405555555555556,269,22,6,3,0.8966666666666666,0.07333333333333333,0.02,0.01,0.08333333333333333,0.03,0.05333333333333333,bad_spec_bad_execution
deepseek_v4_flash,spec_first,crm_workflow,300,0.5943920142029241,0.14,0.51,0.7538888888888888,232,26,34,8,0.7733333333333333,0.08666666666666667,0.11333333333333333,0.02666666666666667,0.11333333333333333,0.14,-0.026666666666666686,bad_spec_bad_execution
deepseek_v4_flash,spec_first,email,300,0.5832803310360788,0.13,0.48800000000000004,0.7681481481481481,231,30,34,5,0.77,0.1,0.11333333333333333,0.016666666666666666,0.11666666666666667,0.13,-0.013333333333333336,bad_spec_bad_execution
deepseek_v4_flash,spec_first,file_doc,300,0.5669661526821643,0.0,0.5159999999999999,0.7410119047619047,245,55,0,0,0.8166666666666667,0.18333333333333332,0.0,0.0,0.18333333333333332,0.0,0.18333333333333332,bad_spec_bad_execution
deepseek_v4_flash,spec_first,sheet_db,300,0.6007129294704338,0.0,0.518,0.838452380952381,262,38,0,0,0.8733333333333333,0.12666666666666668,0.0,0.0,0.12666666666666668,0.0,0.12666666666666668,bad_spec_bad_execution
deepseek_v4_pro,direct,calendar,300,0.48912242770615366,0.0,0.574,1.0,279,21,0,0,0.93,0.07,0.0,0.0,0.07,0.0,0.07,bad_spec_bad_execution
deepseek_v4_pro,direct,crm_workflow,300,0.571284497024839,0.0,0.576,1.0,265,35,0,0,0.8833333333333333,0.11666666666666667,0.0,0.0,0.11666666666666667,0.0,0.11666666666666667,bad_spec_bad_execution
deepseek_v4_pro,direct,email,300,0.5813604949805583,0.0,0.5780000000000001,1.0,257,43,0,0,0.8566666666666667,0.14333333333333334,0.0,0.0,0.14333333333333334,0.0,0.14333333333333334,bad_spec_bad_execution
deepseek_v4_pro,direct,file_doc,300,0.611224960601485,0.0,0.5780000000000001,1.0,206,94,0,0,0.6866666666666666,0.31333333333333335,0.0,0.0,0.31333333333333335,0.0,0.31333333333333335,bad_spec_bad_execution
deepseek_v4_pro,direct,sheet_db,300,0.6033435154095741,0.0,0.584,1.0,231,69,0,0,0.77,0.23,0.0,0.0,0.23,0.0,0.23,bad_spec_bad_execution
deepseek_v4_pro,plan_first,calendar,300,0.47056638888399555,0.0,0.5419999999999999,1.0,283,17,0,0,0.9433333333333334,0.056666666666666664,0.0,0.0,0.056666666666666664,0.0,0.056666666666666664,bad_spec_bad_execution
deepseek_v4_pro,plan_first,crm_workflow,300,0.5971907806090402,0.0,0.55,0.9983333333333333,258,42,0,0,0.86,0.14,0.0,0.0,0.14,0.0,0.14,bad_spec_bad_execution
deepseek_v4_pro,plan_first,email,300,0.590437123086403,0.0,0.5539999999999999,1.0,254,46,0,0,0.8466666666666667,0.15333333333333332,0.0,0.0,0.15333333333333332,0.0,0.15333333333333332,bad_spec_bad_execution
deepseek_v4_pro,plan_first,file_doc,300,0.6075296336222369,0.0,0.5359999999999999,1.0,223,77,0,0,0.7433333333333333,0.25666666666666665,0.0,0.0,0.25666666666666665,0.0,0.25666666666666665,bad_spec_bad_execution
deepseek_v4_pro,plan_first,sheet_db,300,0.5657600965027604,0.0,0.5559999999999999,1.0,255,45,0,0,0.85,0.15,0.0,0.0,0.15,0.0,0.15,bad_spec_bad_execution
deepseek_v4_pro,spec_first,calendar,300,0.5947967182969337,0.023333333333333334,0.41,0.9119444444444443,206,87,2,5,0.6866666666666666,0.29,0.006666666666666667,0.016666666666666666,0.30666666666666664,0.023333333333333334,0.2833333333333333,bad_spec_bad_execution
deepseek_v4_pro,spec_first,crm_workflow,300,0.6617335089978447,0.09666666666666666,0.39599999999999996,0.8665079365079366,190,81,8,21,0.6333333333333333,0.27,0.02666666666666667,0.07,0.34,0.09666666666666666,0.24333333333333335,bad_spec_bad_execution
deepseek_v4_pro,spec_first,email,300,0.6431614096088722,0.1,0.37,0.8192460317460317,187,83,10,20,0.6233333333333333,0.27666666666666667,0.03333333333333333,0.06666666666666667,0.3433333333333333,0.1,0.24333333333333332,bad_spec_bad_execution
deepseek_v4_pro,spec_first,file_doc,300,0.6797946570619272,0.0033333333333333335,0.4,0.8348809523809524,161,138,0,1,0.5366666666666666,0.46,0.0,0.0033333333333333335,0.4633333333333333,0.0033333333333333335,0.45999999999999996,bad_spec_bad_execution
deepseek_v4_pro,spec_first,sheet_db,300,0.6714045887456844,0.0,0.41,0.8325,185,115,0,0,0.6166666666666667,0.38333333333333336,0.0,0.0,0.38333333333333336,0.0,0.38333333333333336,bad_spec_bad_execution
