field,value,num_tasks,splits,num_domains,example_task_ids,leaks_across_dev_test
criterion_signature,"[[""success"", ""state"", ""exists"", ""email.inspect_state""], [""success"", ""communication"", ""contains"", ""email.check_constraints""], [""success"", ""state"", ""equals"", ""email.inspect_state""], [""success"", ""state"", ""equals"", ""email.check_constraints""], [",24,test,1,email_097|email_098|email_099|email_100|email_101|email_102|email_103|email_104,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""email.inspect_state""], [""success"", ""communication"", ""contains"", ""email.check_constraints""], [""success"", ""state"", ""equals"", ""email.inspect_state""], [""success"", ""state"", ""equals"", ""email.check_constraints""], [",42,test,1,email_055|email_056|email_057|email_058|email_059|email_060|email_061|email_062,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""email.inspect_state""], [""success"", ""communication"", ""contains"", ""email.check_constraints""], [""success"", ""state"", ""equals"", ""email.inspect_state""], [""success"", ""state"", ""equals"", ""email.check_constraints""], [",36,dev|test,1,email_019|email_020|email_021|email_022|email_023|email_024|email_025|email_026,True
criterion_signature,"[[""success"", ""state"", ""exists"", ""email.inspect_state""], [""success"", ""communication"", ""contains"", ""email.check_constraints""], [""success"", ""state"", ""equals"", ""email.inspect_state""], [""success"", ""state"", ""equals"", ""email.check_constraints""], [",18,dev,1,email_001|email_002|email_003|email_004|email_005|email_006|email_007|email_008,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""file.inspect_state""], [""success"", ""communication"", ""contains"", ""file.check_constraints""], [""success"", ""state"", ""equals"", ""file.inspect_state""], [""success"", ""state"", ""equals"", ""file.check_constraints""], [""suc",24,test,1,file_doc_097|file_doc_098|file_doc_099|file_doc_100|file_doc_101|file_doc_102|file_doc_103|file_doc_104,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""file.inspect_state""], [""success"", ""communication"", ""contains"", ""file.check_constraints""], [""success"", ""state"", ""equals"", ""file.inspect_state""], [""success"", ""state"", ""equals"", ""file.check_constraints""], [""suc",42,test,1,file_doc_055|file_doc_056|file_doc_057|file_doc_058|file_doc_059|file_doc_060|file_doc_061|file_doc_062,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""file.inspect_state""], [""success"", ""communication"", ""contains"", ""file.check_constraints""], [""success"", ""state"", ""equals"", ""file.inspect_state""], [""success"", ""state"", ""equals"", ""file.check_constraints""], [""suc",36,dev|test,1,file_doc_019|file_doc_020|file_doc_021|file_doc_022|file_doc_023|file_doc_024|file_doc_025|file_doc_026,True
criterion_signature,"[[""success"", ""state"", ""exists"", ""file.inspect_state""], [""success"", ""communication"", ""contains"", ""file.check_constraints""], [""success"", ""state"", ""equals"", ""file.inspect_state""], [""success"", ""state"", ""equals"", ""file.check_constraints""], [""suc",18,dev,1,file_doc_001|file_doc_002|file_doc_003|file_doc_004|file_doc_005|file_doc_006|file_doc_007|file_doc_008,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""sheet.inspect_state""], [""success"", ""communication"", ""contains"", ""sheet.check_constraints""], [""success"", ""state"", ""equals"", ""sheet.inspect_state""], [""success"", ""state"", ""equals"", ""sheet.check_constraints""], [",24,test,1,sheet_db_097|sheet_db_098|sheet_db_099|sheet_db_100|sheet_db_101|sheet_db_102|sheet_db_103|sheet_db_104,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""sheet.inspect_state""], [""success"", ""communication"", ""contains"", ""sheet.check_constraints""], [""success"", ""state"", ""equals"", ""sheet.inspect_state""], [""success"", ""state"", ""equals"", ""sheet.check_constraints""], [",42,test,1,sheet_db_055|sheet_db_056|sheet_db_057|sheet_db_058|sheet_db_059|sheet_db_060|sheet_db_061|sheet_db_062,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""sheet.inspect_state""], [""success"", ""communication"", ""contains"", ""sheet.check_constraints""], [""success"", ""state"", ""equals"", ""sheet.inspect_state""], [""success"", ""state"", ""equals"", ""sheet.check_constraints""], [",36,dev|test,1,sheet_db_019|sheet_db_020|sheet_db_021|sheet_db_022|sheet_db_023|sheet_db_024|sheet_db_025|sheet_db_026,True
criterion_signature,"[[""success"", ""state"", ""exists"", ""sheet.inspect_state""], [""success"", ""communication"", ""contains"", ""sheet.check_constraints""], [""success"", ""state"", ""equals"", ""sheet.inspect_state""], [""success"", ""state"", ""equals"", ""sheet.check_constraints""], [",18,dev,1,sheet_db_001|sheet_db_002|sheet_db_003|sheet_db_004|sheet_db_005|sheet_db_006|sheet_db_007|sheet_db_008,False
donespec_signature,"{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",90,dev,5,calendar_001|calendar_002|calendar_003|calendar_004|calendar_005|calendar_006|calendar_007|calendar_008,False
donespec_signature,"{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], {""all"": [[""equals""], [""permission_ok""]]}, [""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}",180,dev|test,5,calendar_019|calendar_020|calendar_021|calendar_022|calendar_023|calendar_024|calendar_025|calendar_026,True
donespec_signature,"{""all"": [[""exists""], [""exists""], [""within""], {""any"": [{""all"": [[""equals""], [""equals""], [""permission_ok""], [""equals""]]}, {""all"": [[""equals""], [""permission_ok""], [""equals""], [""equals""]]}]}, [""no_conflict""], [""confirmed_by_user""], [""policy_sat",210,test,5,calendar_055|calendar_056|calendar_057|calendar_058|calendar_059|calendar_060|calendar_061|calendar_062,False
donespec_signature,"{""all"": [{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""], [""confirmed_by_user""]]}, {""all"": [[""equals""], [""equals""], [""equals""], [""permission_ok""], [""equals""]]}, {""all"": [[""policy_satisfied""], [""sent""], [""not_modified""]]}]}",60,test,5,calendar_097|calendar_099|calendar_101|calendar_103|calendar_105|calendar_107|calendar_109|calendar_111,False
donespec_signature,"{""all"": [{""all"": [[""exists""], [""exists""], [""within""], [""no_conflict""]]}, {""all"": [[""equals""], [""equals""], [""equals""], [""permission_ok""], [""equals""]]}, {""all"": [[""confirmed_by_user""], [""policy_satisfied""], [""sent""], [""not_modified""]]}]}",60,test,5,calendar_098|calendar_100|calendar_102|calendar_104|calendar_106|calendar_108|calendar_110|calendar_112,False
mutation_signature,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect,600,dev|test,5,calendar_001|calendar_002|calendar_003|calendar_004|calendar_005|calendar_006|calendar_007|calendar_008,True
