model,agent,fine_failure_family,n_trials,n_tasks,mean_near_miss_detection_rate,mean_false_accept_rate,mean_donespec_valid,mean_task_success,mean_cc_f1
deepseek_v4_flash,plan_first,state_integrity,300,100,0.594,0.406,0.99,0.0,0.4840361008063593
deepseek_v4_flash,plan_first,temporal,600,100,0.6,0.4,1.0,0.0,0.38312100071697597
deepseek_v4_flash,plan_first,terminal_state,1500,500,0.5976,0.40240000000000004,0.996,0.0,0.4790803066240232
deepseek_v4_flash,plan_first,workflow_ownership,300,100,0.596,0.404,0.9933333333333333,0.0,0.530594059606208
deepseek_v4_flash,spec_first,artifact_content,1200,400,0.508,0.492,0.8466666666666667,0.0675,0.5863378568479002
deepseek_v4_flash,spec_first,conflict,1500,500,0.5052,0.4948,0.842,0.06,0.567418260335657
deepseek_v4_flash,spec_first,other,1500,500,0.5052,0.4948,0.842,0.06,0.567418260335657
deepseek_v4_flash,spec_first,policy_confirmation,1500,500,0.5052,0.4948,0.842,0.06,0.567418260335657
deepseek_v4_flash,spec_first,recipient_permission,600,200,0.502,0.498,0.8366666666666667,0.065,0.5751232418591214
deepseek_v4_flash,spec_first,side_effect,1500,500,0.5052,0.4948,0.842,0.06,0.567418260335657
deepseek_v4_flash,spec_first,state_integrity,300,100,0.518,0.482,0.8633333333333333,0.0,0.6007129294704338
deepseek_v4_flash,spec_first,temporal,600,100,0.49399999999999994,0.506,0.8233333333333334,0.03,0.4917398742866841
deepseek_v4_flash,spec_first,terminal_state,1500,500,0.5052,0.4948,0.842,0.06,0.567418260335657
deepseek_v4_flash,spec_first,workflow_ownership,300,100,0.51,0.49,0.85,0.14,0.5943920142029241
deepseek_v4_pro,direct,artifact_content,1200,400,0.579,0.42100000000000004,0.965,0.0,0.5918033670041141
deepseek_v4_pro,direct,conflict,1500,500,0.578,0.422,0.9633333333333334,0.0,0.571267179144522
deepseek_v4_pro,direct,other,1500,500,0.578,0.422,0.9633333333333334,0.0,0.571267179144522
deepseek_v4_pro,direct,policy_confirmation,1500,500,0.578,0.422,0.9633333333333334,0.0,0.571267179144522
deepseek_v4_pro,direct,recipient_permission,600,200,0.5780000000000001,0.42200000000000004,0.9633333333333334,0.0,0.5962927277910217
deepseek_v4_pro,direct,side_effect,1500,500,0.578,0.422,0.9633333333333334,0.0,0.571267179144522
deepseek_v4_pro,direct,state_integrity,300,100,0.584,0.41600000000000004,0.9733333333333334,0.0,0.6033435154095741
deepseek_v4_pro,direct,temporal,600,100,0.574,0.42600000000000005,0.9566666666666667,0.0,0.48912242770615366
deepseek_v4_pro,direct,terminal_state,1500,500,0.578,0.422,0.9633333333333334,0.0,0.571267179144522
deepseek_v4_pro,direct,workflow_ownership,300,100,0.576,0.424,0.96,0.0,0.571284497024839
deepseek_v4_pro,plan_first,artifact_content,1200,400,0.5489999999999999,0.451,0.915,0.0,0.5902294084551101
deepseek_v4_pro,plan_first,conflict,1500,500,0.5476,0.4524,0.9126666666666666,0.0,0.5662968045408872
deepseek_v4_pro,plan_first,other,1500,500,0.5476,0.4524,0.9126666666666666,0.0,0.5662968045408872
deepseek_v4_pro,plan_first,policy_confirmation,1500,500,0.5476,0.4524,0.9126666666666666,0.0,0.5662968045408872
deepseek_v4_pro,plan_first,recipient_permission,600,200,0.545,0.455,0.9083333333333333,0.0,0.59898337835432
deepseek_v4_pro,plan_first,side_effect,1500,500,0.5476,0.4524,0.9126666666666666,0.0,0.5662968045408872
deepseek_v4_pro,plan_first,state_integrity,300,100,0.5559999999999999,0.44400000000000006,0.9266666666666666,0.0,0.5657600965027604
deepseek_v4_pro,plan_first,temporal,600,100,0.5419999999999999,0.458,0.9033333333333333,0.0,0.47056638888399555
deepseek_v4_pro,plan_first,terminal_state,1500,500,0.5476,0.4524,0.9126666666666666,0.0,0.5662968045408872
deepseek_v4_pro,plan_first,workflow_ownership,300,100,0.55,0.45,0.9166666666666666,0.0,0.5971907806090402
deepseek_v4_pro,spec_first,artifact_content,1200,400,0.39399999999999996,0.606,0.6566666666666666,0.05,0.6640235411035821
deepseek_v4_pro,spec_first,conflict,1500,500,0.39719999999999994,0.6028,0.662,0.04466666666666667,0.6501781765422524
deepseek_v4_pro,spec_first,other,1500,500,0.39719999999999994,0.6028,0.662,0.04466666666666667,0.6501781765422524
deepseek_v4_pro,spec_first,policy_confirmation,1500,500,0.39719999999999994,0.6028,0.662,0.04466666666666667,0.6501781765422524
deepseek_v4_pro,spec_first,recipient_permission,600,200,0.385,0.615,0.6416666666666667,0.051666666666666666,0.6614780333353997
deepseek_v4_pro,spec_first,side_effect,1500,500,0.39719999999999994,0.6028,0.662,0.04466666666666667,0.6501781765422524
deepseek_v4_pro,spec_first,state_integrity,300,100,0.41,0.59,0.6833333333333333,0.0,0.6714045887456844
deepseek_v4_pro,spec_first,temporal,600,100,0.41,0.59,0.6833333333333333,0.023333333333333334,0.5947967182969337
deepseek_v4_pro,spec_first,terminal_state,1500,500,0.39719999999999994,0.6028,0.662,0.04466666666666667,0.6501781765422524
deepseek_v4_pro,spec_first,workflow_ownership,300,100,0.39599999999999996,0.6040000000000001,0.66,0.09666666666666666,0.6617335089978447
